"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Mar 13 13:32:37 UTC 2026","Fri Mar 13 13:32:39 UTC 2026","1916","","Counter Demo Interaction","","Navigate to Counter Demo and increment counter","","Navigate to Counter Demo and increment counter","  As a user of the ExpandTesting mobile app
  I want to interact with the Counter Demo feature
  So that I can validate the Appium automation is working correctly"
"broken","Fri Mar 13 13:32:35 UTC 2026","Fri Mar 13 13:32:37 UTC 2026","1885","","Counter Demo Interaction","","Increment counter multiple times and verify value","","Increment counter multiple times and verify value","  As a user of the ExpandTesting mobile app
  I want to interact with the Counter Demo feature
  So that I can validate the Appium automation is working correctly"
"broken","Fri Mar 13 13:32:33 UTC 2026","Fri Mar 13 13:32:35 UTC 2026","1598","","Counter Demo Interaction","","Verify counter starts at default value","","Verify counter starts at default value","  As a user of the ExpandTesting mobile app
  I want to interact with the Counter Demo feature
  So that I can validate the Appium automation is working correctly"
"passed","Fri Mar 13 13:32:39 UTC 2026","Fri Mar 13 13:32:39 UTC 2026","12","","Framework base health check","","Load base configuration","","Load base configuration","  To validate the technical base
  As an automation team
  I want to run a quick test without device"
"broken","Fri Mar 13 13:32:39 UTC 2026","Fri Mar 13 13:32:41 UTC 2026","1942","","Mobile smoke test","","Create mobile session and verify app launch","","Create mobile session and verify app launch","  To validate connectivity with Appium
  As a mobile QA
  I want to start an Appium session"
